City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
386,Pringsewu,ID,79.27,-5.3582,104.9744,SPOT ON 2926 Penginapan Sariah Basamo
389,Tefe,BR,74.75,-3.3542,-64.7114,Aracati Hotel
401,Wajid,SO,75.07,3.8093,43.2471,xamdihotelresturant114
402,Taoudenni,ML,72.45,22.6783,-3.9836,
408,Beruwala,LK,75.67,6.4788,79.9828,Cinnamon Bentota Beach
411,Tombouctou,ML,71.26,20.0,-3.0,
413,Humberto De Campos,BR,74.95,-2.5983,-43.4611,Pousada do Cabeça
420,Grand Gaube,MU,75.99,-20.0064,57.6608,Trou aux Biches Beachcomber Golf Resort & Spa
421,Morro Da Fumaca,BR,70.2,-28.6508,-49.21,Hotel Apolo XVI
424,Lhokseumawe,ID,79.5,5.1801,97.1507,OYO 3278 Penginapan Alfajri
425,Sibolga,ID,79.11,1.7427,98.7792,Hotel Syariah CN Darussalam
432,Port Macquarie,AU,72.0,-31.4333,152.9167,Rydges Port Macquarie
443,Puerto Leguizamo,CO,75.58,-0.1934,-74.7819,la casona de juancho
445,Sai Buri,TH,75.2,6.7013,101.6168,ร้าน​ เวดดิ้ง
448,Mar Del Plata,AR,70.0,-38.0023,-57.5575,Gran Hotel Mar del Plata
449,Marsh Harbour,BS,72.66,26.5412,-77.0636,Abaco Beach Resort
450,Moron,AR,78.01,-34.6534,-58.6198,Hotel Morón
457,Itoman,JP,69.8,26.1247,127.6694,DoubleTree by Hilton Hotel Naha
458,Chechat,IN,68.0,24.7667,75.8833,Kota Stone Mandana
461,Okato,NZ,71.01,-39.2,173.8833,Patuha
465,Port-Gentil,GA,78.98,-0.7193,8.7815,Fengshui Residence
467,Columbia,US,71.6,34.0007,-81.0348,Hampton Inn Columbia-Downtown Historic District
479,Sao Filipe,CV,70.95,14.8961,-24.4956,Tortuga B&B
480,Ipixuna,BR,75.2,-1.7625,-48.8043,Hotel Joanayna
481,Scottsboro,US,69.8,34.6723,-86.0341,Econo Lodge
483,Uribia,CO,78.31,11.7139,-72.266,Hotel Uribia
484,Andros Town,BS,71.6,24.7,-77.7667,Paradise Creek Cottages
486,Bilma,NE,77.36,18.6853,12.9164,Expeditions Ténére voyages
489,Tecalitlan,MX,78.8,19.4667,-103.3,Hotel y Restaurante Campestre La Cabaña
495,Mangrol,IN,73.4,21.1167,70.1167,Hotel The Royal Honours
500,Myitkyina,MM,68.0,25.3833,97.4,Shwe Phyu Hotel
502,Toamasina,MG,73.4,-18.1667,49.3833,Hotel H1
504,Khorixas,,69.84,-20.3667,14.9667,Khorixas Lodge
505,Mbandaka,CD,73.22,0.0487,18.2603,Guest House Epervier
508,Alta Floresta,BR,71.64,-9.8756,-56.0861,Floresta Amazonica Hotel
518,La Libertad,EC,79.97,-2.2333,-80.9,Hotel Colón Salinas
519,Yanam,IN,75.2,16.7333,82.2167,The Regency Hotel
520,Inirida,CO,75.94,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
522,Hobyo,SO,79.52,5.3505,48.5268,Halane Hotel and Restaurent
523,Sirajganj,BD,74.03,24.45,89.7167,IMT-Sirajganj Hostel Building
526,Aripuana,BR,73.08,-9.1667,-60.6333,
533,Metro,ID,78.57,-5.1131,105.3067,OYO 3177 Wisma Lintang
543,Maceio,BR,73.4,-9.6658,-35.7353,Poutur Pousada
546,Djambala,CG,69.48,-2.5447,14.7533,Hotel Ravin D'or
549,Nago,JP,69.8,26.5881,127.9761,Hotel Yugaf Inn Okinawa
550,Mumford,GH,78.82,5.2618,-0.759,Windy Lodge & Beach Resort
559,Vilhena,BR,69.19,-12.7406,-60.1458,Hotel Mirage
563,Nueva Loja,EC,72.86,0.0847,-76.8828,Limoncocha Great Hotel
569,Wilmington,US,68.0,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
571,Belmonte,BR,78.8,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
579,Guanica,PR,75.99,17.9716,-66.908,Copamarina Beach Resort & Spa
583,Mogok,MM,68.52,22.9167,96.5,MOGOK HILL HOTEL
585,Vangaindrano,MG,72.25,-23.35,47.6,Hotel Fanilo
586,Gualeguay,AR,74.1,-33.1416,-59.3097,Cabañas Nuestro Refugio
587,Ascension,US,75.2,30.2169,-90.9001,Hampton Inn Gonzales
590,Bubaque,GW,78.1,11.2833,-15.8333,Dakosta Island Beach Camp
594,Kismayo,SO,77.49,-0.3582,42.5454,Agan-Hotel
596,Sinnamary,GF,77.05,5.3833,-52.95,ALETHEIA Appartement Sinnamary
598,Kasongo-Lunda,CD,68.72,-6.4667,16.8167,
601,Hatillo,PR,75.99,18.4863,-66.8254,Hotel Parador El Buen Cafe
608,Yaan,NG,75.15,7.3833,8.5667,Father's garden
611,Antalaha,MG,75.33,-14.9003,50.2788,Hotel Vitasoa
612,Lusambo,CD,70.92,-4.9667,23.45,
614,Ayorou,NE,78.08,14.7308,0.9174,Hotel Amenokal
615,Avera,US,71.6,33.194,-82.5271,April darren
617,Upington,ZA,69.8,-28.4478,21.2561,River Place Manor
621,Antofagasta,CL,68.0,-23.65,-70.4,Holiday Inn Express Antofagasta
630,Conceicao Do Araguaia,BR,74.03,-8.2578,-49.2647,Tarumã Tropical Hotel
633,Tolaga Bay,NZ,70.36,-38.3667,178.3,Tolaga Bay Motel
640,Cayenne,GF,77.0,4.9333,-52.3333,Hôtel Le Dronmi
642,Rurrenabaque,BO,73.89,-14.4413,-67.5278,Casa de Campo
648,Jacareacanga,BR,73.15,-6.2222,-57.7528,Casa do Ian😎
649,Maragogi,BR,77.58,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
651,Acajutla,SV,73.0,13.5928,-89.8275,Royal Decameron Salinitas
654,Panguna,PG,79.18,-6.3164,155.4848,Itakaka House
657,Hualmay,PE,72.84,-11.0964,-77.6139,Hotel Restaurant Turístico Casablanca
659,Rafaela,AR,77.05,-31.2503,-61.4867,Parra Hotel & Suites
661,Saravena,CO,77.5,6.9538,-71.8752,Hotel Diamante Saravena
662,Sur,OM,75.22,22.5667,59.5289,Sur Plaza Hotel
663,Tamandare,BR,77.63,-8.7597,-35.1047,Pousada 100 Passos
664,Pyay,MM,74.28,18.8167,95.2167,Polestar Hotel
667,Obo,CF,70.14,5.3998,26.4869,
668,Songadh,IN,70.84,21.1667,73.5667,SPOT ON 61520 Shivam Guest House
670,Ahipara,NZ,70.39,-35.1667,173.1667,Ahipara Holiday Park
673,La Victoria,VE,77.0,10.2184,-67.3302,Hacienda Santa Teresa
678,Harper,LR,78.37,4.375,-7.7169,Screensaver
685,Ndjole,GA,74.03,-0.1783,10.7649,Hotel Kevazingo
693,Alto Araguaia,BR,69.1,-17.3147,-53.2153,Araguaia Palace Hotel
694,Chahuites,MX,79.0,16.2833,-94.1833,Casa de los hermanos Matus moreno
698,Thanh Hoa,VN,74.93,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
701,Plettenberg Bay,ZA,68.0,-34.0527,23.3716,Thanda Vista B&B
702,Abonnema,NG,74.98,4.7084,6.7931,Corper's Lodge Obonoma
703,Dunedin,NZ,69.01,-45.8742,170.5036,Scenic Hotel Southern Cross
704,Voi,KE,70.2,-3.3945,38.563,Voi Wildlife Lodge
