WeatherPy_Database,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Hasaki,JP,2021-03-15 00:56:59,35.7333,140.8333,55.99,43,20,6.91
106,Barrow,US,2021-03-15 00:58:06,71.2906,-156.7887,-2.2,71,1,18.41
107,Faanui,PF,2021-03-15 00:57:10,-16.4833,-151.75,82.92,73,36,11.32
108,Atuona,PF,2021-03-15 00:57:19,-9.8,-139.0333,80.2,64,1,10.07
109,Nouadhibou,MR,2021-03-15 00:55:15,20.931,-17.0347,65.52,70,0,18.7
110,Vila,PT,2021-03-15 00:58:07,42.0304,-8.1588,46.0,85,1,1.01
111,Saldanha,ZA,2021-03-15 00:58:07,-33.0117,17.9442,62.6,94,36,14.97
112,Mehamn,NO,2021-03-15 00:58:07,71.0357,27.8492,29.73,95,100,14.79
113,Coihaique,CL,2021-03-15 00:58:08,-45.5752,-72.0662,59.0,67,0,3.44
114,Sao Felix Do Xingu,BR,2021-03-15 00:56:10,-6.6447,-51.995,71.87,97,98,0.27
115,Tuktoyaktuk,CA,2021-03-15 00:57:17,69.4541,-133.0374,-16.6,76,40,11.5
116,Bangangte,CM,2021-03-15 00:58:08,5.1409,10.5198,62.44,94,100,3.85
117,Busselton,AU,2021-03-15 00:57:20,-33.65,115.3333,66.0,57,0,10.0
118,Biak,ID,2021-03-15 00:58:09,-0.9131,122.8766,82.65,69,42,1.86
119,Tasiilaq,GL,2021-03-15 00:57:07,65.6145,-37.6368,24.8,68,90,25.32
120,Tiksi,RU,2021-03-15 00:58:09,71.6872,128.8694,2.88,88,100,4.45
121,Goderich,CA,2021-03-15 00:58:10,43.7501,-81.7165,26.6,59,0,12.66
122,Manavgat,TR,2021-03-15 00:58:10,36.7867,31.4431,53.01,100,75,8.05
123,Mantua,IT,2021-03-15 00:58:11,45.1667,10.7833,36.0,90,0,1.99
124,Vadso,NO,2021-03-15 00:58:11,70.0744,29.7487,26.6,93,75,1.14
125,Georgetown,MY,2021-03-15 00:57:20,5.4112,100.3354,82.0,83,20,3.44
126,Palatka,US,2021-03-15 00:58:12,29.6486,-81.6376,72.0,59,78,4.12
127,Morondava,MG,2021-03-15 00:58:12,-20.2833,44.2833,77.72,78,0,5.3
128,Novo Aripuana,BR,2021-03-15 00:58:12,-5.1206,-60.3797,73.78,94,100,0.89
129,Upata,VE,2021-03-15 00:58:13,8.0086,-62.3989,71.74,90,43,6.89
130,Sambava,MG,2021-03-15 00:58:13,-14.2667,50.1667,76.08,86,66,6.15
131,Nikolskoye,RU,2021-03-15 00:57:23,59.7035,30.7861,36.0,93,90,6.71
132,Richards Bay,ZA,2021-03-15 00:55:58,-28.783,32.0377,71.44,94,29,7.11
133,Mogadishu,SO,2021-03-15 00:57:05,2.0371,45.3438,79.74,83,100,11.39
134,Sola,VU,2021-03-15 00:58:14,-13.8833,167.55,86.0,79,75,8.93
135,Mineiros,BR,2021-03-15 00:58:15,-17.5694,-52.5511,69.93,88,100,2.53
136,Tommot,RU,2021-03-15 00:58:15,58.9564,126.2925,9.88,81,100,13.42
137,Talnakh,RU,2021-03-15 00:57:18,69.4865,88.3972,-27.76,99,67,2.71
138,Conceicao Da Barra,BR,2021-03-15 00:58:15,-18.5933,-39.7322,75.0,86,65,5.19
139,Fortuna,US,2021-03-15 00:58:16,40.5982,-124.1573,42.01,94,100,3.51
140,Uhlove,UA,2021-03-15 00:58:16,44.8215,33.6045,44.01,38,0,5.86
141,Kapaa,US,2021-03-15 00:55:41,22.0752,-159.319,73.4,88,75,20.71
142,Muborak,UZ,2021-03-15 00:58:17,39.2553,65.1528,32.22,56,100,6.87
143,Springfield,US,2021-03-15 00:58:00,37.2153,-93.2982,57.0,94,90,13.8
144,Zatyshshya,UA,2021-03-15 00:58:17,47.3335,29.8733,38.35,95,100,7.05
145,Oranjemund,NA,2021-03-15 00:55:15,-28.55,16.4333,63.45,85,15,8.46
146,Olinda,BR,2021-03-15 00:58:18,-8.0089,-34.8553,78.8,65,40,12.66
147,Cradock,ZA,2021-03-15 00:58:18,-32.1642,25.6192,65.71,89,52,0.67
148,Kruisfontein,ZA,2021-03-15 00:58:18,-34.0033,24.7314,68.0,97,100,1.99
149,Husavik,IS,2021-03-15 00:58:19,66.0449,-17.3389,19.4,86,0,2.3
150,Paita,PE,2021-03-15 00:58:19,-5.0892,-81.1144,77.4,75,100,11.97
151,Salalah,OM,2021-03-15 00:58:19,17.0151,54.0924,71.6,43,0,4.61
152,Mitchell,US,2021-03-15 00:58:20,43.7094,-98.0298,33.8,86,90,12.66
153,Airai,TL,2021-03-15 00:58:20,-8.9266,125.4092,71.19,67,97,0.51
154,Lata,PT,2021-03-15 00:58:20,40.1629,-8.3327,54.0,88,0,3.56
155,Namibe,AO,2021-03-15 00:57:08,-15.1961,12.1522,76.42,81,100,4.7
156,Chokwe,MZ,2021-03-15 00:58:21,-24.5333,32.9833,66.67,95,0,3.94
157,Pangkalanbuun,ID,2021-03-15 00:58:21,-2.6833,111.6167,78.96,84,99,1.66
158,Bambous Virieux,MU,2021-03-15 00:57:23,-20.3428,57.7575,75.99,100,75,3.44
159,Gloucester,GB,2021-03-15 00:58:22,51.8657,-2.2431,48.0,86,89,1.01
160,Itarema,BR,2021-03-15 00:58:22,-2.9248,-39.9167,77.97,82,0,8.81
161,Lebu,CL,2021-03-15 00:57:07,-37.6167,-73.65,55.53,93,1,3.09
162,Terrasini,IT,2021-03-15 00:58:23,38.146,13.0844,57.2,54,0,23.02
163,Khani,GE,2021-03-15 00:58:23,41.9563,42.9566,48.2,49,0,29.93
164,Hongjiang,CN,2021-03-15 00:58:23,27.11,109.9956,72.14,74,0,7.27
165,Henties Bay,NA,2021-03-15 00:58:24,-22.116,14.2845,62.01,95,4,3.0
166,Consuegra,ES,2021-03-15 00:58:24,39.4625,-3.608,45.0,76,4,7.05
167,Saint-Philippe,RE,2021-03-15 00:57:05,-21.3585,55.7679,77.0,78,20,4.61
168,Shagonar,RU,2021-03-15 00:58:25,51.5333,92.8,0.5,83,100,3.06
169,Harnosand,SE,2021-03-15 00:58:25,62.6323,17.9379,32.0,100,90,2.3
170,Jamestown,US,2021-03-15 00:55:43,42.097,-79.2353,27.0,54,1,10.76
171,Bayangol,RU,2021-03-15 00:58:26,50.6977,103.4656,3.18,67,0,1.66
172,Hamada,JP,2021-03-15 00:58:26,34.8833,132.0833,50.0,81,0,6.91
173,Davila,PH,2021-03-15 00:58:26,18.4726,120.5763,80.6,69,75,2.3
174,Longyearbyen,SJ,2021-03-15 00:58:27,78.2186,15.6401,-2.2,71,20,12.66
175,North Bend,US,2021-03-15 00:58:27,43.4065,-124.2243,44.6,81,90,8.55
176,Dali,CN,2021-03-15 00:58:27,25.7,100.1833,54.79,61,0,3.36
177,Havre-Saint-Pierre,CA,2021-03-15 00:58:28,50.2334,-63.5986,8.6,43,1,11.5
178,Pacific Grove,US,2021-03-15 00:58:28,36.6177,-121.9166,57.99,74,84,5.99
179,Bethel,US,2021-03-15 00:57:58,41.3712,-73.414,28.99,42,10,1.01
180,Pueblo Nuevo,MX,2021-03-15 00:58:29,23.3833,-105.3833,55.45,31,0,3.56
181,Belyy Yar,RU,2021-03-15 00:58:29,53.6039,91.3903,1.4,78,100,4.47
182,Piacabucu,BR,2021-03-15 00:58:29,-10.4056,-36.4344,76.77,73,100,6.55
183,Del Rio,US,2021-03-15 00:58:30,29.3627,-100.8968,78.8,11,1,12.66
184,Margate,GB,2021-03-15 00:57:16,51.3813,1.3862,46.99,77,100,4.0
185,Carutapera,BR,2021-03-15 00:58:30,-1.195,-46.02,76.39,90,0,4.21
186,Nivala,FI,2021-03-15 00:58:31,63.9167,24.9667,25.36,98,100,2.42
187,Khatanga,RU,2021-03-15 00:58:31,71.9667,102.5,-20.42,94,100,11.12
188,Namtsy,RU,2021-03-15 00:58:32,62.7161,129.6658,12.2,73,40,15.66
189,Troitsko-Pechorsk,RU,2021-03-15 00:58:32,62.7084,56.1964,19.35,93,100,8.16
190,Shasta Lake,US,2021-03-15 00:58:32,40.6804,-122.3708,48.0,90,100,3.58
191,Orimattila,FI,2021-03-15 00:58:33,60.8049,25.7296,33.01,99,100,2.19
192,Thompson,CA,2021-03-15 00:57:24,55.7435,-97.8558,26.6,36,75,8.05
193,East London,ZA,2021-03-15 00:58:33,-33.0153,27.9116,73.15,86,97,6.71
194,Puerto Escondido,MX,2021-03-15 00:58:34,15.85,-97.0667,84.2,70,40,4.72
195,Lavrentiya,RU,2021-03-15 00:58:34,65.5833,-171.0,25.54,90,100,17.72
196,Cherskiy,RU,2021-03-15 00:57:14,68.75,161.3,-11.9,88,100,7.87
197,Atar,MR,2021-03-15 00:58:35,20.5169,-13.0499,70.95,26,0,5.26
198,Le Port,RE,2021-03-15 00:58:35,-20.9373,55.2919,77.0,83,90,11.5
199,Phan Thiet,VN,2021-03-15 00:58:35,10.9333,108.1,77.81,63,87,0.74
200,Murgab,TM,2021-03-15 00:58:36,37.4966,61.9714,33.8,69,90,4.61
201,Fort Nelson,CA,2021-03-15 00:58:36,58.8053,-122.7002,1.4,71,90,6.91
202,Banda Aceh,ID,2021-03-15 00:58:36,5.5577,95.3222,80.29,78,0,11.25
203,Kodiak,US,2021-03-15 00:58:37,57.79,-152.4072,35.6,69,90,28.77
204,Puerto Lopez,CO,2021-03-15 00:58:37,4.0845,-72.956,84.16,55,100,4.65
205,Zinder,NE,2021-03-15 00:58:37,13.8072,8.9881,79.54,12,5,7.63
206,Asbe Teferi,ET,2021-03-15 00:57:16,9.0833,40.8667,62.02,42,39,4.65
207,Mangan,IN,2021-03-15 00:58:38,27.5167,88.5333,61.63,45,0,4.09
208,Bereda,ES,2021-03-15 00:58:38,43.2686,-7.5406,39.99,100,31,1.01
209,Harlingen,US,2021-03-15 00:54:36,26.1906,-97.6961,72.0,68,90,14.97
210,Machala,EC,2021-03-15 00:54:24,-3.2667,-79.9667,78.6,79,100,2.26
211,Crotone,IT,2021-03-15 00:58:39,39.0851,17.1178,42.01,100,90,15.12
212,Phatthalung,TH,2021-03-15 00:58:39,7.5,100.0833,77.0,88,20,3.44
213,Norman Wells,CA,2021-03-15 00:58:40,65.282,-126.8329,-4.0,77,90,13.8
214,Petropavl,KZ,2021-03-15 00:58:40,54.8753,69.1628,0.52,93,0,8.75
215,Porlamar,VE,2021-03-15 00:58:40,10.958,-63.8491,77.0,94,76,14.97
216,Key West,US,2021-03-15 00:57:38,24.5557,-81.7826,75.2,73,1,11.5
