City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Alyangula,AU,2021-03-14 22:11:21,-13.8483,136.4192,77.0,100,46,3.11
93,Araouane,ML,2021-03-14 22:10:45,18.9048,-3.5265,74.37,24,0,7.54
94,Tasiilaq,GL,2021-03-14 22:10:15,65.6145,-37.6368,24.8,68,90,23.02
95,Viedma,AR,2021-03-14 22:11:19,-40.8135,-62.9967,68.05,59,43,13.56
96,Chuy,UY,2021-03-14 22:12:40,-33.6971,-53.4616,65.91,75,0,7.02
97,Thompson,CA,2021-03-14 22:10:56,55.7435,-97.8558,23.0,36,75,11.5
98,Grindavik,IS,2021-03-14 22:11:26,63.8424,-22.4338,37.4,81,75,11.5
99,Yeppoon,AU,2021-03-14 22:14:18,-23.1333,150.7333,78.8,73,75,5.35
100,Krivosheino,RU,2021-03-14 22:14:18,57.3431,83.9261,1.18,96,97,6.62
101,Port Hedland,AU,2021-03-14 22:14:19,-20.3167,118.5667,78.8,65,97,12.66
102,Tiksi,RU,2021-03-14 22:10:39,71.6872,128.8694,3.76,87,100,4.54
103,Kilindoni,TZ,2021-03-14 22:14:19,-7.9139,39.6668,81.28,67,7,7.54
104,Vanimo,PG,2021-03-14 22:12:43,-2.6741,141.3028,78.22,88,96,4.45
105,Sisimiut,GL,2021-03-14 22:14:20,66.9395,-53.6735,8.42,81,96,9.37
106,Fare,PF,2021-03-14 22:14:20,-16.7,-151.0167,82.94,73,84,11.01
107,Castro,BR,2021-03-14 22:11:01,-24.7911,-50.0119,67.01,82,1,1.7
108,Kununurra,AU,2021-03-14 22:14:21,-15.7667,128.7333,75.2,100,90,11.5
109,Lavrentiya,RU,2021-03-14 22:10:27,65.5833,-171.0,21.52,94,100,12.3
110,Ancud,CL,2021-03-14 22:12:24,-41.8697,-73.8203,68.0,63,0,5.75
111,Iquique,CL,2021-03-14 22:13:29,-20.2208,-70.1431,75.2,64,20,19.57
112,Ketchikan,US,2021-03-14 22:14:22,55.3422,-131.6461,32.0,86,90,3.44
113,Srednekolymsk,RU,2021-03-14 22:12:39,67.45,153.6833,-16.17,81,0,3.96
114,Winton,US,2021-03-14 22:14:22,37.3894,-120.6133,59.0,51,40,4.32
115,Romny,UA,2021-03-14 22:14:23,50.751,33.4747,36.54,91,100,14.61
116,Saldanha,ZA,2021-03-14 22:13:19,-33.0117,17.9442,62.6,88,63,9.22
117,Coracora,PE,2021-03-14 22:14:23,-15.0333,-73.7833,49.48,95,100,5.5
118,Cap Malheureux,MU,2021-03-14 22:14:24,-19.9842,57.6142,75.0,92,99,1.99
119,Cape Town,ZA,2021-03-14 22:06:19,-33.9258,18.4232,70.0,73,20,16.11
120,East London,ZA,2021-03-14 22:11:05,-33.0153,27.9116,73.85,83,84,10.2
121,Palekh,RU,2021-03-14 22:14:24,56.8028,41.8572,34.74,98,100,11.18
122,Cherskiy,RU,2021-03-14 22:10:41,68.75,161.3,-12.95,94,100,8.21
123,Dargaville,NZ,2021-03-14 22:14:25,-35.9333,173.8833,71.62,65,29,3.42
124,Khatanga,RU,2021-03-14 22:11:36,71.9667,102.5,-19.7,95,100,10.18
125,Chokurdakh,RU,2021-03-14 22:11:48,70.6333,147.9167,-20.47,92,0,4.76
126,East Wenatchee Bench,US,2021-03-14 22:14:25,47.4257,-120.2812,48.99,49,100,1.01
127,Georgetown,MY,2021-03-14 22:10:12,5.4112,100.3354,80.6,78,20,2.3
128,Cuamba,MZ,2021-03-14 22:14:26,-14.8031,36.5372,68.41,98,100,1.81
129,Rio Gallegos,AR,2021-03-14 22:07:40,-51.6226,-69.2181,60.8,59,75,8.05
130,Reconquista,AR,2021-03-14 22:14:27,-29.15,-59.65,87.15,37,13,6.58
131,Longyearbyen,SJ,2021-03-14 22:10:20,78.2186,15.6401,-2.2,71,20,11.5
132,Gondar,ET,2021-03-14 22:14:27,12.6,37.4667,62.94,35,1,2.51
133,Grand-Santi,GF,2021-03-14 22:11:46,4.25,-54.3833,71.73,93,100,1.97
134,Avarua,CK,2021-03-14 22:11:09,-21.2078,-159.775,84.2,79,20,11.5
135,Robe,AU,2021-03-14 22:14:28,-37.1833,139.75,60.78,90,99,10.65
136,Roald,NO,2021-03-14 22:10:42,62.5833,6.1333,37.4,81,0,10.36
137,Port Hardy,CA,2021-03-14 22:10:46,50.6996,-127.4199,41.0,65,40,16.11
138,Basco,PH,2021-03-14 22:14:29,20.4487,121.9702,74.28,76,67,19.69
139,Cabo San Lucas,MX,2021-03-14 22:11:24,22.8909,-109.9124,75.99,40,20,8.05
140,Saint-Philippe,RE,2021-03-14 22:11:34,-21.3585,55.7679,78.8,83,75,12.66
141,Kieta,PG,2021-03-14 22:12:20,-6.2167,155.6333,82.04,70,82,1.03
142,Beloha,MG,2021-03-14 22:14:30,-25.1667,45.05,72.93,80,2,14.32
143,Korla,CN,2021-03-14 22:12:19,41.7597,86.1469,51.71,35,97,11.18
144,Mollendo,PE,2021-03-14 22:14:30,-17.0231,-72.0147,73.71,77,42,6.53
145,Najran,SA,2021-03-14 22:12:10,17.4924,44.1277,68.0,30,0,2.3
146,Kerchevskiy,RU,2021-03-14 22:14:31,59.946,56.2884,17.85,93,100,9.24
147,Flagstaff,US,2021-03-14 22:12:10,35.1981,-111.6513,46.0,42,1,12.66
148,Manta,EC,2021-03-14 22:09:55,-0.95,-80.7333,84.2,74,75,8.05
149,Zvenigovo,RU,2021-03-14 22:14:31,55.9742,48.0181,24.8,93,75,13.42
150,Cam Ranh,VN,2021-03-14 22:14:32,11.9214,109.1591,71.6,78,0,3.44
151,Port Elizabeth,ZA,2021-03-14 22:10:33,-33.918,25.5701,69.8,94,90,8.05
152,Ostrovnoy,RU,2021-03-14 22:10:37,68.0531,39.5131,22.46,93,99,5.82
153,Aguimes,ES,2021-03-14 22:14:33,27.9054,-15.4461,64.4,72,20,17.27
154,Awjilah,LY,2021-03-14 22:12:22,29.1081,21.2869,57.74,57,0,9.66
155,Angoram,PG,2021-03-14 22:14:33,-4.0625,144.0661,76.24,96,89,1.57
156,Faanui,PF,2021-03-14 22:11:27,-16.4833,-151.75,82.9,74,99,14.09
157,Yellowknife,CA,2021-03-14 22:10:25,62.456,-114.3525,14.0,79,90,9.22
158,Flinders,AU,2021-03-14 22:11:32,-34.5833,150.8552,60.01,73,0,1.01
159,Kyrylivka,UA,2021-03-14 22:10:29,46.3759,35.3675,41.41,80,95,12.19
160,Poum,NC,2021-03-14 22:11:09,-20.2333,164.0167,78.93,74,100,5.7
161,Luau,AO,2021-03-14 22:14:34,-10.7073,22.2247,63.3,97,72,0.69
162,Loandjili,CG,2021-03-14 22:14:35,-4.7561,11.8578,80.51,82,100,7.31
163,Sabang,ID,2021-03-14 22:14:35,5.8933,95.3214,82.69,74,95,13.96
164,Sinnamary,GF,2021-03-14 22:11:20,5.3833,-52.95,77.14,87,100,8.93
165,Leningradskiy,RU,2021-03-14 22:11:53,69.3833,178.4167,2.64,94,100,14.99
166,Talwara,IN,2021-03-14 22:14:36,31.9486,75.8667,64.89,41,0,4.38
167,Ampanihy,MG,2021-03-14 22:14:36,-24.7,44.75,71.35,79,0,10.4
168,Nichinan,JP,2021-03-14 22:14:37,31.6,131.3667,46.4,87,40,6.91
169,Saint George,US,2021-03-14 22:10:52,37.1041,-113.5841,64.0,35,1,16.11
170,Hualmay,PE,2021-03-14 22:14:37,-11.0964,-77.6139,76.37,69,8,7.74
171,Xining,CN,2021-03-14 22:14:37,36.6167,101.7667,40.46,14,0,1.39
172,Palmeira Das Missoes,BR,2021-03-14 22:14:38,-27.8994,-53.3136,70.65,68,5,3.74
173,Leshukonskoye,RU,2021-03-14 22:14:38,64.8989,45.7622,30.11,94,98,7.76
174,Cairns,AU,2021-03-14 22:14:39,-16.9167,145.7667,77.0,83,75,5.75
175,Brookings,US,2021-03-14 22:14:39,44.3114,-96.7984,42.01,52,20,27.63
176,Ponta Delgada,PT,2021-03-14 22:12:34,37.7333,-25.6667,60.8,100,75,12.66
177,Luderitz,NA,2021-03-14 22:12:23,-26.6481,15.1594,67.69,74,0,18.66
178,Constitucion,CL,2021-03-14 22:09:59,-35.3333,-72.4167,60.78,79,58,4.59
179,Levelland,US,2021-03-14 22:14:40,33.5873,-102.378,61.0,20,40,27.63
180,Myitkyina,MM,2021-03-14 22:14:40,25.3833,97.4,62.02,78,9,2.28
181,Bilibino,RU,2021-03-14 22:14:40,68.0546,166.4372,-13.95,97,99,5.06
182,Oia,PT,2021-03-14 22:14:41,40.5426,-8.5386,54.0,86,19,3.76
183,Mbandaka,CD,2021-03-14 22:10:11,0.0487,18.2603,74.32,87,76,2.46
